Wavelength,FAM EM,FAM EX,ROX (carboxy-X-rhodamine) EM,ROX (carboxy-X-rhodamine) EX,Cy3 EM,Cy3 EX,Cy5.5 EM,Cy5.5 EX,JOE EM,JOE EX,Cy3.5 EM,Cy3.5 EX,CAL560 EM,CAL560 EX,CAL590 EM,CAL590 EX,CAL610 EM,CAL610 EX,Cy5 EM,Cy5 EX,HEX EM,HEX EX,TexasRed EM,TexasRed EX
250,,,,0.2281,,,,,,0.4931,,,,,,,,,,,,,,
251,,,,0.225,,,,,,0.4814,,,,,,,,,,,,,,
252,,,,0.2234,,,,,,0.4646,,,,,,,,,,,,,,
253,,,,0.2242,,,,,,0.4345,,,,,,,,,,,,,,
254,,,,0.227,,,,,,0.4101,,,,,,,,,,,,,,
255,,,,0.2321,,,,,,0.3847,,,,,,,,,,,,,,
256,,,,0.2386,,,,,,0.3512,,,,,,,,,,,,,,
257,,,,0.2472,,,,,,0.3283,,,,,,,,,,,,,,
258,,,,0.2556,,,,,,0.3075,,,,,,,,,,,,,,
259,,,,0.2652,,,,,,0.2831,,,,,,,,,,,,,,
260,,,,0.2757,,,,,,0.268,,,,,,,,,,,,,,
261,,,,0.2857,,,,,,0.255,,,,,,,,,,,,,,
262,,,,0.2961,,,,,,0.2398,,,,,,,,,,,,,,
263,,,,0.3058,,,,,,0.2307,,,,,,,,,,,,,,
264,,,,0.3147,,,,,,0.223,,,,,,,,,,,,,,
265,,,,0.3221,,,,,,0.2142,,,,,,,,,,,,,,
266,,,,0.3278,,,,,,0.2091,,,,,,,,,,,,,,
267,,,,0.331,,,,,,0.2045,,,,,,,,,,,,,,
268,,,,0.3303,,,,,,0.1991,,,,,,,,,,,,,,
269,,,,0.3258,,,,,,0.1959,,,,,,,,,,,,,,
270,,,,0.317,,,,,,0.1938,,,,,,,,,,,,,,
271,,,,0.3057,,,,,,0.1915,,,,,,,,,,,,,,
272,,,,0.2928,,,,,,0.1904,,,,,,,,,,,,,,
273,,,,0.278,,,,,,0.1901,,,,,,,,,,,,,,
274,,,,0.2632,,,,,,0.1901,,,,,,,,,,,,,,
275,,,,0.2498,,,,,,0.1904,,,,,,,,,,,,,,
276,,,,0.2366,,,,,,0.1911,,,,,,,,,,,,,,
277,,,,0.2249,,,,,,0.1924,,,,,,,,,,,,,,
278,,,,0.2151,,,,,,0.1936,,,,,,,,,,,,,,
279,,,,0.2066,,,,,,0.1948,,,,,,,,,,,,,,
280,,,,0.1987,,,,,,0.1966,,,,,,,,,,,,,,
281,,,,0.1921,,,,,,0.1985,,,,,,,,,,,,,,
282,,,,0.1861,,,,,,0.2001,,,,,,,,,,,,,,
283,,,,0.1816,,,,,,0.202,,,,,,,,,,,,,,
284,,,,0.1777,,,,,,0.2033,,,,,,,,,,,,,,
285,,,,0.1738,,,,,,0.204,,,,,,,,,,,,,,
286,,,,0.1706,,,,,,0.2038,,,,,,,,,,,,,,
287,,,,0.17,,,,,,0.2027,,,,,,,,,,,,,,
288,,,,0.1678,,,,,,0.2006,,,,,,,,,,,,,,
289,,,,0.1672,,,,,,0.1964,,,,,,,,,,,,,,
290,,,,0.168,,,,,,0.1925,,,,,,,,,,,,,,
291,,,,0.1694,,,,,,0.1876,,,,,,,,,,,,,,
292,,,,0.1712,,,,,,0.1794,,,,,,,,,,,,,,
293,,,,0.1743,,,,,,0.1725,,,,,,,,,,,,,,
294,,,,0.1776,,,,,,0.1649,,,,,,,,,,,,,,
295,,,,0.1813,,,,,,0.1535,,,,,,,,,,,,,,
296,,,,0.185,,,,,,0.1445,,,,,,,,,,,,,,
297,,,,0.1886,,,,,,0.1357,,,,,,,,,,,,,,
298,,,,0.1922,,,,,,0.1233,,,,,,,,,,,,,,
299,,,,0.1949,,,,,,0.1143,,,,,,,,,,,,,,
300,,0.092488803,,0.1969,,,,,,0.1059,,,,,,,,,,,,0.150251999,,
301,,0.089265697,,0.1979,,,,,,0.0951,,,,,,,,,,,,0.147851005,,
302,,0.086182699,,0.1988,,,,,,0.0879,,,,0.190672994,,0.14,,0.125238001,,,,0.143803999,,
303,,0.084361002,,0.1981,,,,,,0.0816,,,,0.182007998,,0.14,,0.122470997,,,,0.138025999,,
304,,0.083239898,,0.1969,,,,,,0.0737,,,,0.173416004,,0.14,,0.120313004,,,,0.131047994,,
305,,0.082539201,,0.1965,,,,,,0.0689,,,,0.164667994,,0.14,,0.118577003,,,,0.123217002,,
306,,0.082258999,,0.1938,,,,,,0.0649,,,,0.155886993,,0.14,,0.117192999,,,,0.114831001,,
307,,0.082679398,,0.192,,,,,,0.0598,,,,0.147018999,,0.14,,0.116100997,,,,0.106973998,,
308,,0.083520196,,0.1909,,,,,,0.0566,,,,0.138159007,,0.14,,0.115318,,,,0.098835997,,
309,,0.084501103,,0.1898,,,,,,0.054,,,,0.129494995,,0.14,,0.114924997,,,,0.091287203,,
310,,0.086462997,,0.1884,,,,,,0.0513,,,,0.121100001,,0.13,,0.114770003,,,,0.0844208,,
311,,0.089125603,,0.188,,,,,,0.0499,,,,0.113050997,,0.13,,0.114771999,,,,0.078363799,,
312,,0.091647997,,0.1865,,,,,,0.0482,,,,0.105502002,,0.13,,0.114956997,,,,0.072781302,,
313,,0.094730899,,0.1852,,,,,,0.0466,,,,0.098557197,,0.13,,0.115301996,,,,0.0676594,,
314,,0.099215202,,0.1841,,,,,,0.0459,,,,0.092277497,,0.12,,0.115618996,,,,0.063067801,,
315,,0.102999002,,0.1805,,,,,,0.0452,,,,0.086625896,,0.12,,0.115709998,,,,0.059202,,
316,,0.106642,,0.1767,,,,,,0.0447,,,,0.081654496,,0.11,,0.115566999,,,,0.055866499,,
317,,0.111686997,,0.1726,,,,,,0.0443,,,,0.077324197,,0.11,,0.114992,,,,0.052544899,,
318,,0.115050003,,0.1662,,,,,,0.0438,,,,0.073646799,,0.1,,0.113884002,,,,0.050311901,,
319,,0.117853001,,0.1589,,,,,,0.0434,,,,0.070510499,,0.090000004,,0.112179004,,,,0.048386,,
