Wavelength,ATTO465 EM,ATTO465 EX,Cy3 EM,Cy3 EX,Cy5 EM,Cy5 EX,Cy5.5 EM,Cy5.5 EX,HEX EM,HEX EX,JOE EM,JOE EX,ROX EM,ROX EX,TAMRA EM,TAMRA EX,TexasRed EM,TexasRed EX,Rhodamine6G EM,Rhodamine6G EX
250,,,,,,,,,,,,0.4931,,0.2281,,,,,,
251,,,,,,,,,,,,0.4814,,0.225,,,,,,
252,,,,,,,,,,,,0.4646,,0.2234,,,,,,
253,,,,,,,,,,,,0.4345,,0.2242,,,,,,
254,,,,,,,,,,,,0.4101,,0.227,,,,,,
255,,,,,,,,,,,,0.3847,,0.2321,,,,,,
256,,,,,,,,,,,,0.3512,,0.2386,,,,,,
257,,,,,,,,,,,,0.3283,,0.2472,,,,,,
258,,,,,,,,,,,,0.3075,,0.2556,,,,,,
259,,,,,,,,,,,,0.2831,,0.2652,,,,,,
260,,,,,,,,,,,,0.268,,0.2757,,,,,,
261,,,,,,,,,,,,0.255,,0.2857,,,,,,
262,,,,,,,,,,,,0.2398,,0.2961,,,,,,
263,,,,,,,,,,,,0.2307,,0.3058,,,,,,
264,,,,,,,,,,,,0.223,,0.3147,,,,,,
265,,,,,,,,,,,,0.2142,,0.3221,,,,,,
266,,,,,,,,,,,,0.2091,,0.3278,,,,,,
267,,,,,,,,,,,,0.2045,,0.331,,,,,,
268,,,,,,,,,,,,0.1991,,0.3303,,,,,,
269,,,,,,,,,,,,0.1959,,0.3258,,,,,,
270,,,,,,,,,,,,0.1938,,0.317,,,,,,
271,,,,,,,,,,,,0.1915,,0.3057,,,,,,
272,,,,,,,,,,,,0.1904,,0.2928,,,,,,
273,,,,,,,,,,,,0.1901,,0.278,,,,,,
274,,,,,,,,,,,,0.1901,,0.2632,,,,,,
275,,,,,,,,,,,,0.1904,,0.2498,,,,,,
276,,,,,,,,,,,,0.1911,,0.2366,,,,,,
277,,,,,,,,,,,,0.1924,,0.2249,,,,,,
278,,,,,,,,,,,,0.1936,,0.2151,,,,,,
279,,,,,,,,,,,,0.1948,,0.2066,,,,,,
280,,,,,,,,,,,,0.1966,,0.1987,,,,,,
281,,,,,,,,,,,,0.1985,,0.1921,,,,,,
282,,,,,,,,,,,,0.2001,,0.1861,,,,,,
283,,,,,,,,,,,,0.202,,0.1816,,,,,,
284,,,,,,,,,,,,0.2033,,0.1777,,,,,,
285,,,,,,,,,,,,0.204,,0.1738,,,,,,
286,,,,,,,,,,,,0.2038,,0.1706,,,,,,
287,,,,,,,,,,,,0.2027,,0.17,,,,,,
288,,,,,,,,,,,,0.2006,,0.1678,,,,,,
289,,,,,,,,,,,,0.1964,,0.1672,,,,,,
290,,,,,,,,,,,,0.1925,,0.168,,,,,,
291,,,,,,,,,,,,0.1876,,0.1694,,,,,,
292,,,,,,,,,,,,0.1794,,0.1712,,,,,,
293,,,,,,,,,,,,0.1725,,0.1743,,,,,,
294,,,,,,,,,,,,0.1649,,0.1776,,,,,,
295,,,,,,,,,,,,0.1535,,0.1813,,,,,,
296,,,,,,,,,,,,0.1445,,0.185,,,,,,
297,,,,,,,,,,,,0.1357,,0.1886,,,,,,
298,,,,,,,,,,,,0.1233,,0.1922,,,,,,
299,,,,,,,,,,,,0.1143,,0.1949,,,,,,
300,,0.191642428,,,,,,,,0.150251999,,0.1059,,0.1969,,,,,,
301,,0.170527276,,,,,,,,0.147851005,,0.0951,,0.1979,,,,,,
302,,0.150273595,,,,,,,,0.143803999,,0.0879,,0.1988,,,,,,
303,,0.130881387,,,,,,,,0.138025999,,0.0816,,0.1981,,,,,,
304,,0.11235065,,,,,,,,0.131047994,,0.0737,,0.1969,,,,,,
305,,0.093255411,,,,,,,,0.123217002,,0.0689,,0.1965,,,,,,
306,,0.076199134,,,,,,,,0.114831001,,0.0649,,0.1938,,,,,,
307,,0.061709957,,,,,,,,0.106973998,,0.0598,,0.192,,,,,,
308,,0.049510822,,,,,,,,0.098835997,,0.0566,,0.1909,,,,,,
309,,0.039580086,,,,,,,,0.091287203,,0.054,,0.1898,,,,,,
310,,0.031683983,,,,,,,,0.0844208,,0.0513,,0.1884,,,,,,
311,,0.025329005,,,,,,,,0.078363799,,0.0499,,0.188,,,,,,
312,,0.020000001,,,,,,,,0.072781302,,0.0482,,0.1865,,,,,,
313,,0.015398269,,,,,,,,0.0676594,,0.0466,,0.1852,,,,,,
314,,0.011952381,,,,,,,,0.063067801,,0.0459,,0.1841,,,,,,
315,,0.009290043,,,,,,,,0.059202,,0.0452,,0.1805,,,,,,
316,,0.007506494,,,,,,,,0.055866499,,0.0447,,0.1767,,,,,,
317,,0.006679654,,,,,,,,0.052544899,,0.0443,,0.1726,,,,,,
318,,0.006441559,,,,,,,,0.050311901,,0.0438,,0.1662,,,,,,
319,,0.006445888,,,,,,,,0.048386,,0.0434,,0.1589,,,,,,
320,,0.006458875,,,,,,,,0.046990398,,0.0436,,0.1519,,,,,,
321,,0.006220779,,,,,,,,0.045999501,,0.0438,,0.144,,,,,,
322,,0.006108225,,,,,,,,0.045566801,,0.0443,,0.135,,,,,,
323,,0.006077922,,,,,,,,0.045287699,,0.0448,,0.1272,,,,,,
324,,0.006419914,,,,,,,,0.044855099,,0.0454,,0.1194,,,,,,
