Wavelength,FAM EM,FAM EX,Cy3 EM,Cy3 EX,CAL610 EM,CAL610 EX,Cy5.5 EM,Cy5.5 EX
300,,0.092488803,,,,,,
301,,0.089265697,,,,,,
302,,0.086182699,,,,0.125238001,,
303,,0.084361002,,,,0.122470997,,
304,,0.083239898,,,,0.120313004,,
305,,0.082539201,,,,0.118577003,,
306,,0.082258999,,,,0.117192999,,
307,,0.082679398,,,,0.116100997,,
308,,0.083520196,,,,0.115318,,
309,,0.084501103,,,,0.114924997,,
310,,0.086462997,,,,0.114770003,,
311,,0.089125603,,,,0.114771999,,
312,,0.091647997,,,,0.114956997,,
313,,0.094730899,,,,0.115301996,,
314,,0.099215202,,,,0.115618996,,
315,,0.102999002,,,,0.115709998,,
316,,0.106642,,,,0.115566999,,
317,,0.111686997,,,,0.114992,,
318,,0.115050003,,,,0.113884002,,
319,,0.117853001,,,,0.112179004,,
320,,0.121357001,,,,0.109842002,,
321,,0.122897997,,,,0.106845997,,
322,,0.123457998,,,,0.103132002,,
323,,0.122897997,,,,0.098831303,,
324,,0.121496998,,,,0.094108403,,
325,,0.119534999,,,,0.089025803,,
326,,0.116311997,,,,0.083650999,,
327,,0.113649003,,,,0.078219101,,
328,,0.110146001,,,,0.072820298,,
329,,0.104539998,,,,0.067539103,,
330,,0.100195996,,,,0.0624725,,
331,,0.096132301,,,,0.057724498,,
332,,0.089546002,,,,0.053347401,,
333,,0.084781401,,,,0.049317501,,
334,,0.0801569,,,,0.045618601,,
335,,0.0732904,,,,0.042327199,,
336,,0.068806097,,,,0.039324701,,
337,,0.063901298,,,,0.036647599,,
338,,0.057314999,,,,0.0342342,,
339,,0.053251099,,,,0.032111902,,
340,,0.049327299,,,,0.030235101,,
341,,0.043722,,,,0.028587701,,
342,,0.0403587,,,,0.0271526,,
343,,0.037275799,,,,0.025998401,,
344,,0.033351999,,,,0.0251354,,
345,,0.030829599,,,,0.0243853,,
346,,0.0284473,,,,0.0239195,,
347,,0.0255045,,,,0.0236181,,
348,,0.0235426,,,,0.023571299,,
349,,0.022001101,,,,0.0236958,,
350,,0.020319499,,,,0.0239412,,
351,,0.0193386,,,,0.0243511,,
352,,0.0182175,,,,0.024787201,,
353,,0.0173767,,,,0.0252918,,
354,,0.0169563,,,,0.025926501,,
355,,0.0162556,,,,0.026479101,,
356,,0.0155549,,,,0.027071601,,
357,,0.0154148,,,,0.027736001,,
358,,0.0152747,,,,0.028456399,,
359,,0.0151345,,,,0.029493,,
360,,0.0152747,,,,0.030848101,,
361,,0.0151345,,,,0.032430399,,
362,,0.0151345,,,,0.034064099,,
363,,0.0155549,,,,0.035571098,,
364,,0.0159753,,,,0.037002701,,
365,,0.0162556,,,,0.038642,,
366,,0.016535901,,,,0.0403203,,
367,,0.016395699,,,,0.042174298,,
368,,0.016675999,,,,0.0437828,,
369,,0.017236499,,,,0.044997498,,
370,,0.017516799,,,,0.045990799,,
371,,0.017797099,,,,0.0468002,,
372,,0.0179372,,,,0.047553599,,
373,,0.0180774,,,,0.0482786,,
374,,0.0182175,,,,0.048530899,,
375,,0.0184978,,,,0.048244301,,
376,,0.018778,,,,0.047423501,,
377,,0.018778,,,,0.046200801,,
378,,0.019198401,,,,0.044760101,,
379,,0.0196188,,,,0.0429997,,
380,,0.0196188,,,,0.041049801,,
381,,0.019758999,,,,0.038928598,,
382,,0.019758999,,,,0.036669299,,
383,,0.019758999,,,,0.034437399,,
384,,0.0201794,,,,0.032368802,,
385,,0.0204596,,,,0.0303641,,
386,,0.0201794,,,,0.028395901,,
387,,0.0198991,,,,0.026617199,,
388,,0.019758999,,,,0.025061199,,
389,,0.0193386,,,,0.0233978,,
390,,0.0193386,,,,0.0220815,,
391,,0.0193386,,,,0.0209581,,
392,,0.0190583,,,,0.020053999,,
393,,0.018918199,,,,0.019149801,,
394,,0.0184978,,,,0.0183015,,
395,,0.018357599,,,,0.0177147,,
396,,0.0182175,,,,0.0171862,,
397,,0.0184978,,,,0.0168186,,
398,,0.018637899,,,,0.016744399,,
399,,0.018637899,,,,0.016581099,,
400,,0.0190583,,0.0019,,0.0164178,,
401,,0.0190583,,0.002,,0.0163939,,
402,,0.0193386,,0.0019,,0.0163288,,
403,,0.0196188,,0.0019,,0.0164041,,
404,,0.0201794,,0.0022,,0.016602799,,
405,,0.0207399,,0.0021,,0.0167078,,
406,,0.020880001,,0.0025,,0.0167649,,
407,,0.0213004,,0.0021,,0.016945301,,
408,,0.021861,,0.002,,0.0171827,,
409,,0.022281401,,0.0024,,0.0174396,,
410,,0.022841901,,0.0024,,0.017604001,,
411,,0.0236827,,0.003,,0.018012701,,
412,,0.024243301,,0.0024,,0.018438499,,
413,,0.025364401,,0.0027,,0.0188176,,
414,,0.0264854,,0.0027,,0.019259401,,
415,,0.0274664,,0.0031,,0.0198188,,
416,,0.0290078,,0.0031,,0.0201727,,
417,,0.0304092,,0.0031,,0.020496899,,
418,,0.031950701,,0.0033,,0.0209364,,
419,,0.0340527,,0.0035,,0.0213075,,
420,,0.0357343,,0.0037,,0.0217299,,
421,,0.037556101,,0.0037,,0.0220838,,
422,,0.040498901,,0.004,,0.0223669,,
423,,0.042741001,,0.0044,,0.0226181,,
424,,0.044983201,,0.0045,,0.022672901,,
425,,0.048486501,,0.0051,,0.0227722,,
426,,0.051008999,,0.005,,0.022928599,,
427,,0.053671502,,0.0053,,0.023014201,,
428,,0.057735398,,0.0057,,0.023126099,,
429,,0.0608184,,0.0058,,0.023038199,,
430,,0.064041503,,0.0058,,0.022932,,
431,,0.068385698,,0.006,,0.022808701,,
432,,0.071748897,,0.006,,0.022768799,,
433,,0.075112097,,0.0073,,0.022515301,,
434,,0.080016799,,0.0079,,0.0224308,,
435,,0.083800502,,0.0078,,0.0222288,,
436,,0.087584101,,0.0088,,0.0219285,,
437,,0.093469702,,0.0087,,0.021743599,,
438,,0.097953998,,0.0095,,0.0214079,,
439,,0.102719001,,0.0097,,0.0211716,,
440,,0.110146001,,0.0104,,0.020961599,,
441,,0.115891002,,0.0108,,0.0206887,,
442,,0.122056998,,0.0118,,0.0206168,,
443,,0.131446004,,0.0122,,0.020408999,,
444,,0.139014006,,0.0129,,0.020349599,,
445,,0.147000998,,0.0136,,0.020253699,,
446,,0.159052998,,0.0149,,0.0200106,,
447,,0.168582007,,0.015,,0.020041401,,
448,,0.178531006,,0.0163,,0.0199364,,
449,,0.192684993,,0.0175,,0.019816499,,
450,,0.203474998,,0.0183,,0.019730899,,
451,,0.214545995,,0.0186,,0.019557299,,
452,,0.230101004,,0.0207,,0.019407799,,
453,,0.241732001,,0.0218,,0.0193142,,
454,,0.253363013,,0.0243,,0.0192126,,
455,,0.269338995,,0.0252,,0.0190893,,
456,,0.281109989,,0.0261,,0.018852999,,
457,,0.292741001,,0.0274,,0.0187479,,
458,,0.308016002,,0.0291,,0.0186303,,
459,,0.318805993,,0.0307,,0.0184203,,
460,,0.32931599,,0.0325,,0.0183484,,
461,,0.342909008,,0.0341,,0.0182319,,
462,,0.352438003,,0.0357,,0.017918,,
463,,0.361546993,,0.0374,,0.0178289,,
464,,0.373878986,,0.0413,,0.017739899,,
465,,0.382847995,,0.0432,,0.017735301,,
466,,0.392096013,,0.0468,,0.0176691,,
467,,0.404848993,,0.0488,,0.017580001,,
468,,0.414797992,,0.0506,,0.0176086,,
469,,0.425588995,,0.0543,,0.017635999,,
470,,0.441563994,,0.0594,,0.0177125,,
471,,0.454596013,,0.0615,,0.01787,,
472,,0.469029993,,0.0669,,0.0179339,,
473,,0.49159199,,0.07,,0.018078901,,
474,,0.510230005,,0.0765,,0.018220499,,
475,,0.530969977,,0.0813,,0.0184328,,
476,,0.562359989,,0.0864,,0.0186269,,
477,,0.588145018,,0.0914,,0.018828999,,
478,,0.615471005,,0.0983,,0.019173799,,
479,,0.655690014,,0.103,,0.0196144,,
480,0.00976434,0.686519027,,0.1075,,0.020093899,,
481,0.0106855,0.718330026,,0.1149,,0.020675,,
482,0.013449,0.763453007,,0.1184,,0.0209821,,
483,0.0167729,0.79638499,,0.1253,,0.0216968,,
484,0.021695299,0.82861501,,0.1322,,0.0227859,,
485,0.0268001,0.870095015,,0.1367,,0.0236615,,
486,0.033910301,0.898122013,,0.1404,,0.0246365,,
487,0.041749801,0.923766971,,0.1469,,0.025539501,,
488,0.051047798,0.954035997,,0.1508,,0.026590999,,
489,0.063627496,0.971973002,,0.1573,,0.027758799,,
490,0.078667402,0.985987008,,0.1614,,0.028915299,,
491,0.095801003,0.997478008,,0.1675,,0.030630101,,
492,0.115698002,1,,0.1741,,0.032019399,,
493,0.140017003,0.997196972,,0.1799,,0.033238702,,
494,0.168204993,0.984025002,,0.1862,,0.0349489,,
495,0.200084001,0.967769027,,0.1949,,0.036731001,,
496,0.235452995,0.94590801,,0.1999,,0.038638599,,
497,0.273586005,0.907091022,,0.2102,,0.040587399,,
498,0.319260001,0.873178005,,0.219,,0.0425179,,
