Wavelength,FAM EM,FAM EX,ROX (carboxy-X-rhodamine) EM,ROX (carboxy-X-rhodamine) EX,Cy3 EM,Cy3 EX,Cy5.5 EM,Cy5.5 EX
250,,,,0.2281,,,,
251,,,,0.225,,,,
252,,,,0.2234,,,,
253,,,,0.2242,,,,
254,,,,0.227,,,,
255,,,,0.2321,,,,
256,,,,0.2386,,,,
257,,,,0.2472,,,,
258,,,,0.2556,,,,
259,,,,0.2652,,,,
260,,,,0.2757,,,,
261,,,,0.2857,,,,
262,,,,0.2961,,,,
263,,,,0.3058,,,,
264,,,,0.3147,,,,
265,,,,0.3221,,,,
266,,,,0.3278,,,,
267,,,,0.331,,,,
268,,,,0.3303,,,,
269,,,,0.3258,,,,
270,,,,0.317,,,,
271,,,,0.3057,,,,
272,,,,0.2928,,,,
273,,,,0.278,,,,
274,,,,0.2632,,,,
275,,,,0.2498,,,,
276,,,,0.2366,,,,
277,,,,0.2249,,,,
278,,,,0.2151,,,,
279,,,,0.2066,,,,
280,,,,0.1987,,,,
281,,,,0.1921,,,,
282,,,,0.1861,,,,
283,,,,0.1816,,,,
284,,,,0.1777,,,,
285,,,,0.1738,,,,
286,,,,0.1706,,,,
287,,,,0.17,,,,
288,,,,0.1678,,,,
289,,,,0.1672,,,,
290,,,,0.168,,,,
291,,,,0.1694,,,,
292,,,,0.1712,,,,
293,,,,0.1743,,,,
294,,,,0.1776,,,,
295,,,,0.1813,,,,
296,,,,0.185,,,,
297,,,,0.1886,,,,
298,,,,0.1922,,,,
299,,,,0.1949,,,,
300,,0.092488803,,0.1969,,,,
301,,0.089265697,,0.1979,,,,
302,,0.086182699,,0.1988,,,,
303,,0.084361002,,0.1981,,,,
304,,0.083239898,,0.1969,,,,
305,,0.082539201,,0.1965,,,,
306,,0.082258999,,0.1938,,,,
307,,0.082679398,,0.192,,,,
308,,0.083520196,,0.1909,,,,
309,,0.084501103,,0.1898,,,,
310,,0.086462997,,0.1884,,,,
311,,0.089125603,,0.188,,,,
312,,0.091647997,,0.1865,,,,
313,,0.094730899,,0.1852,,,,
314,,0.099215202,,0.1841,,,,
315,,0.102999002,,0.1805,,,,
316,,0.106642,,0.1767,,,,
317,,0.111686997,,0.1726,,,,
318,,0.115050003,,0.1662,,,,
319,,0.117853001,,0.1589,,,,
320,,0.121357001,,0.1519,,,,
321,,0.122897997,,0.144,,,,
