Wavelength,ATTO425 EM,ATTO425 EX,ATTO465 EM,ATTO465 EX,FAM EM,FAM EX,ATTO488 EM,ATTO488 EX,JOE EM,JOE EX,HEX EM,HEX EX,Cy3 EM,Cy3 EX,ROX EM,ROX EX,Cy3.5 EM,Cy3.5 EX,CAL560 EM,CAL560 EX,CAL590 EM,CAL590 EX,CAL610 EM,CAL610 EX,Cy5 EM,Cy5 EX,Cy5.5 EM,Cy5.5 EX
250,,0.058339394,,0.191642428,,,,0.14798788,,0.4931,,,,,,0.2281,,,,,,,,,,,,
251,,0.054618182,,0.170527276,,,,0.151763638,,0.4814,,,,,,0.225,,,,,,,,,,,,
252,,0.051288744,,0.150273595,,,,0.155184417,,0.4646,,,,,,0.2234,,,,,,,,,,,,
253,,0.048351082,,0.130881387,,,,0.158250218,,0.4345,,,,,,0.2242,,,,,,,,,,,,
254,,0.045805194,,0.11235065,,,,0.16096104,,0.4101,,,,,,0.227,,,,,,,,,,,,
255,,0.043926407,,0.093255411,,,,0.163428571,,0.3847,,,,,,0.2321,,,,,,,,,,,,
256,,0.042160173,,0.076199134,,,,0.165480518,,0.3512,,,,,,0.2386,,,,,,,,,,,,
257,,0.040554113,,0.061709957,,,,0.167099565,,0.3283,,,,,,0.2472,,,,,,,,,,,,
258,,0.039311688,,0.049510822,,,,0.168004327,,0.3075,,,,,,0.2556,,,,,,,,,,,,
259,,0.03821645,,0.039580086,,,,0.168311686,,0.2831,,,,,,0.2652,,,,,,,,,,,,
260,,0.037203463,,0.031683983,,,,0.167675323,,0.268,,,,,,0.2757,,,,,,,,,,,,
261,,0.036164502,,0.025329005,,,,0.166233764,,0.255,,,,,,0.2857,,,,,,,,,,,,
262,,0.035324676,,0.020000001,,,,0.163658006,,0.2398,,,,,,0.2961,,,,,,,,,,,,
263,,0.034199135,,0.015398269,,,,0.159861469,,0.2307,,,,,,0.3058,,,,,,,,,,,,
264,,0.032922079,,0.011952381,,,,0.154818181,,0.223,,,,,,0.3147,,,,,,,,,,,,
265,,0.031445888,,0.009290043,,,,0.148896107,,0.2142,,,,,,0.3221,,,,,,,,,,,,
266,,0.030251082,,0.007506494,,,,0.142285718,,0.2091,,,,,,0.3278,,,,,,,,,,,,
267,,0.029246753,,0.006679654,,,,0.135242429,,0.2045,,,,,,0.331,,,,,,,,,,,,
268,,0.028389611,,0.006441559,,,,0.127952386,,0.1991,,,,,,0.3303,,,,,,,,,,,,
269,,0.027878788,,0.006445888,,,,0.12062771,,0.1959,,,,,,0.3258,,,,,,,,,,,,
270,,0.027627707,,0.006458875,,,,0.113372296,,0.1938,,,,,,0.317,,,,,,,,,,,,
271,,0.02735498,,0.006220779,,,,0.10595671,,0.1915,,,,,,0.3057,,,,,,,,,,,,
272,,0.026779222,,0.006108225,,,,0.098727271,,0.1904,,,,,,0.2928,,,,,,,,,,,,
273,,0.025813853,,0.006077922,,,,0.091761905,,0.1901,,,,,,0.278,,,,,,,,,,,,
274,,0.0245671,,0.006419914,,,,0.085536797,,0.1901,,,,,,0.2632,,,,,,,,,,,,
275,,0.023432901,,0.007,,,,0.079796537,,0.1904,,,,,,0.2498,,,,,,,,,,,,
276,,0.022277056,,0.007489178,,,,0.075264068,,0.1911,,,,,,0.2366,,,,,,,,,,,,
277,,0.021251082,,0.007800866,,,,0.071935064,,0.1924,,,,,,0.2249,,,,,,,,,,,,
278,,0.020324675,,0.008,,,,0.069696969,,0.1936,,,,,,0.2151,,,,,,,,,,,,
279,,0.019848484,,0.008108225,,,,0.068376624,,0.1948,,,,,,0.2066,,,,,,,,,,,,
280,,0.019558441,,0.008571429,,,,0.068025974,,0.1966,,,,,,0.1987,,,,,,,,,,,,
281,,0.019480519,,0.009168831,,,,0.068346322,,0.1985,,,,,,0.1921,,,,,,,,,,,,
282,,0.019415584,,0.009632034,,,,0.069017318,,0.2001,,,,,,0.1861,,,,,,,,,,,,
283,,0.01964935,,0.010116883,,,,0.069740261,,0.202,,,,,,0.1816,,,,,,,,,,,,
