Wavelength,ATTO465 EM,ATTO465 EX,ATTO488 EM,ATTO488 EX,ATTO520 EM,ATTO520 EX,ATTO532 EM,ATTO532 EX,ATTO550 EM,ATTO550 EX,ATTO565 EM,ATTO565 EX,ATTO590 EM,FAM EM,FAM EX,ATTO590 EX,ATTO594 EM,ATTO594 EX,ATTO620 EM,ATTO620 EX,ATTO647N EM,ATTO647N EX,ATTO655 EM,ATTO655 EX,ATTO680 EM,ATTO680 EX,Cy3 EM,Cy3 EX,Cy5 EM,Cy5 EX,Cy5_5 EM,Cy5_5 EX,HEX EM,HEX EX,JOE EM,JOE EX,ROX EM,ROX EX,TAMRA EM,TAMRA EX,TexasRed EM,TexasRed EX,Rhodamine6G EM,Rhodamine6G EX
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4931,,0.2281,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4814,,0.225,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4646,,0.2234,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4345,,0.2242,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4101,,0.227,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3847,,0.2321,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3512,,0.2386,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3283,,0.2472,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3075,,0.2556,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2831,,0.2652,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268,,0.2757,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255,,0.2857,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2398,,0.2961,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2307,,0.3058,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223,,0.3147,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2142,,0.3221,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2091,,0.3278,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2045,,0.331,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1991,,0.3303,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1959,,0.3258,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1938,,0.317,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1915,,0.3057,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1904,,0.2928,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1901,,0.278,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1901,,0.2632,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1904,,0.2498,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1911,,0.2366,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1924,,0.2249,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1936,,0.2151,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1948,,0.2066,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1966,,0.1987,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1985,,0.1921,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2001,,0.1861,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202,,0.1816,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2033,,0.1777,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204,,0.1738,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2038,,0.1706,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2027,,0.17,,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2006,,0.1678,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1964,,0.1672,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1925,,0.168,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1876,,0.1694,,,,,,
