Wavelength,Transmittance
250.0,0.0
251.0,0.0
252.0,0.0
253.0,0.0
254.0,0.0
255.0,0.0
256.0,0.0
257.0,0.0
258.0,0.0
259.0,0.0
260.0,0.0
261.0,0.0
262.0,0.0
263.0,0.0
264.0,0.0
265.0,0.0
266.0,0.0
267.0,0.0
268.0,0.0
269.0,0.0
270.0,0.0
271.0,0.0
272.0,0.0
273.0,0.0
274.0,0.0
275.0,0.0
276.0,0.0
277.0,0.0
278.0,0.0
279.0,0.0
280.0,0.0
281.0,0.0
282.0,0.0
283.0,0.0
284.0,0.0
285.0,0.0
286.0,0.0
287.0,0.0
288.0,0.0
289.0,0.0
290.0,0.0
291.0,0.0
292.0,0.0
293.0,0.0
294.0,0.0
295.0,0.0
296.0,0.0
297.0,0.0
298.0,0.0
299.0,0.0
300.0,0.0
301.0,0.0
302.0,0.0
303.0,0.0
304.0,0.0
305.0,0.0
306.0,0.0
307.0,0.0
308.0,0.0
309.0,0.0
310.0,0.0
311.0,0.0
312.0,0.0
313.0,0.0
314.0,0.0
315.0,0.0
316.0,0.0
317.0,0.0
318.0,0.0
319.0,0.0
320.0,0.0
321.0,0.0
322.0,0.0
323.0,0.0
324.0,0.0
325.0,0.0
326.0,0.0
327.0,0.0
328.0,0.0
329.0,0.0
330.0,0.0
331.0,0.0
332.0,0.0
333.0,0.0
334.0,0.0
335.0,0.0
336.0,0.0
337.0,0.0
338.0,0.0
339.0,0.0
340.0,0.0
341.0,0.0
342.0,0.0
343.0,0.0
344.0,0.0
345.0,0.0
346.0,0.0
347.0,0.0
348.0,0.0
349.0,0.0
350.0,0.0
351.0,0.0
352.0,0.0
353.0,0.0
354.0,0.0
355.0,0.0
356.0,0.0
357.0,0.0
358.0,0.0
359.0,0.0
360.0,0.0
361.0,0.0
362.0,0.0
363.0,0.0
364.0,0.0
365.0,0.0
366.0,0.0
367.0,0.0
368.0,0.0
369.0,0.0
370.0,0.0
371.0,0.0
372.0,0.0
373.0,0.0
374.0,0.0
375.0,0.0
376.0,0.0
377.0,0.0
378.0,0.0
379.0,0.0
380.0,0.0
381.0,0.0
382.0,0.0
383.0,0.0
384.0,0.0
385.0,0.0
386.0,0.0
387.0,0.0
388.0,0.0
389.0,0.0
390.0,0.0
391.0,0.0
392.0,0.0
393.0,0.0
394.0,0.0
395.0,0.0
396.0,0.0
397.0,0.0
398.0,0.0
399.0,0.0
400.0,0.0
401.0,0.0
402.0,0.0
403.0,0.0
404.0,0.0
405.0,0.0
406.0,0.0
407.0,0.0
408.0,0.0
409.0,0.0
410.0,0.0
411.0,0.0
412.0,0.0
413.0,0.0
414.0,0.0
415.0,0.0
416.0,0.0
417.0,0.0
418.0,0.0
419.0,0.0
420.0,0.0
421.0,0.0
422.0,0.0
423.0,0.0
424.0,0.0
425.0,0.0
426.0,0.0
427.0,0.0
428.0,0.0
429.0,0.0
430.0,0.0
431.0,0.0
432.0,0.0
433.0,0.0
434.0,0.0
435.0,0.0
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,0.0
441.0,0.0
442.0,0.0
443.0,0.0
444.0,0.0
445.0,0.0
446.0,0.0
447.0,0.0
448.0,0.0
449.0,0.0
450.0,0.0
451.0,0.0
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,0.0
508.0,0.0
509.0,0.0
510.0,0.0
511.0,0.0
512.0,0.0
513.0,0.0
514.0,0.0
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,0.0
520.0,0.0
521.0,0.0
522.0,0.0
523.0,0.0
524.0,0.0
525.0,0.0
526.0,0.0
527.0,0.0
528.0,0.0
529.0,0.0
530.0,0.0
531.0,0.0
532.0,0.0
533.0,0.0
534.0,0.0
535.0,0.0
536.0,0.0
537.0,0.0
538.0,0.0
539.0,0.0
540.0,0.0
541.0,0.0
542.0,0.0
543.0,0.0
544.0,0.0
545.0,0.0
546.0,2.85123113712755e-06
547.0,1.196703648576481e-05
548.0,2.108284183440207e-05
549.0,3.019864718303933e-05
550.0,3.931445253167659e-05
551.0,4.8430257880313846e-05
552.0,5.754606322895111e-05
553.0,6.666186857758836e-05
554.0,7.577767392622563e-05
555.0,8.489347927486288e-05
556.0,9.400928462350016e-05
557.0,0.0001031250899721374
558.0,0.00011224089532077467
559.0,0.00012135670066941192
560.0,0.00013047250601804918
561.0,0.00013958831136668645
562.0,0.00016610205712762834
563.0,0.0002199863999895582
564.0,0.00027387074285148796
565.0,0.0003277550857134178
566.0,0.00038163942857534765
567.0,0.0004355237714372775
568.0,0.0004894081142992072
569.0,0.0005432924571611371
570.0,0.0005971768000230669
571.0,0.0006510611428849968
572.0,0.0007049454857469266
573.0,0.0007609915123215589
574.0,0.0009669761660838894
575.0,0.00117296081984622
576.0,0.0013789454736085505
577.0,0.001584930127370881
578.0,0.0017909147811332113
579.0,0.001996899434895542
580.0,0.0022028840886578723
581.0,0.0025198931279838523
582.0,0.0028628747397529473
583.0,0.0032058563515220432
584.0,0.003548837963291139
585.0,0.003891819575060235
586.0,0.004234801186829331
587.0,0.004912477649748951
588.0,0.005705275584352142
589.0,0.006498073518955333
590.0,0.007290871453558523
591.0,0.007927871364923868
592.0,0.008448988449087525
593.0,0.00897010553325118
594.0,0.009491222617414837
595.0,0.00998529303846326
596.0,0.00936420436268109
597.0,0.00874311568689892
598.0,0.00812202701111675
599.0,0.007422519096278989
600.0,0.006463722335503571
601.0,0.005504925574728153
602.0,0.004546128813952736
603.0,0.003587332053177319
604.0,0.002789032554795157
605.0,0.0023593752059724873
606.0,0.0019297178571498176
607.0,0.0015000605083271476
608.0,0.0012154737002449084
609.0,0.001069241204165088
610.0,0.0009230087080852673
611.0,0.0007767762120054468
612.0,0.0006305437159256264
613.0,0.00048431121984580575
614.0,0.00039015555973241926
615.0,0.0003608174221165065
616.0,0.00033147928450059374
617.0,0.000302141146884681
618.0,0.00027280300926876816
619.0,0.00024346487165285543
620.0,0.00021412673403694267
621.0,0.00018478859642102988
622.0,0.0001554504588051171
623.0,0.00012611232118920433
624.0,9.677418357329156e-05
625.0,7.946286195602765e-05
626.0,7.68369156634321e-05
627.0,7.421096937083654e-05
628.0,7.158502307824098e-05
629.0,6.895907678564542e-05
630.0,6.633313049304985e-05
631.0,6.370718420045429e-05
632.0,6.108123790785873e-05
633.0,5.845529161526317e-05
634.0,5.582934532266759e-05
635.0,5.320339903007204e-05
636.0,5.057745273747648e-05
637.0,4.7951506444880914e-05
638.0,4.532556015228535e-05
639.0,4.269961385968979e-05
640.0,4.0073667567094235e-05
641.0,3.744772127449867e-05
642.0,3.4821774981903105e-05
643.0,3.219582868930754e-05
644.0,2.9569882396711984e-05
645.0,2.694393610411642e-05
646.0,2.4317989811520857e-05
647.0,2.16920435189253e-05
648.0,1.9066097226329737e-05
649.0,1.644015093373417e-05
650.0,1.3814204641138614e-05
651.0,1.1188258348543049e-05
652.0,8.562312055947486e-06
653.0,5.9363657633519295e-06
654.0,3.3104194707563646e-06
655.0,6.844731781608001e-07
656.0,0.0
657.0,0.0
658.0,0.0
659.0,0.0
660.0,0.0
661.0,0.0
662.0,0.0
663.0,0.0
664.0,0.0
