Wavelength,Transmittance
250.0,0.0
251.0,0.0
252.0,0.0
253.0,0.0
254.0,0.0
255.0,0.0
256.0,0.0
257.0,0.0
258.0,0.0
259.0,0.0
260.0,0.0
261.0,0.0
262.0,0.0
263.0,0.0
264.0,0.0
265.0,0.0
266.0,0.0
267.0,0.0
268.0,0.0
269.0,0.0
270.0,0.0
271.0,0.0
272.0,0.0
273.0,0.0
274.0,0.0
275.0,0.0
276.0,0.0
277.0,0.0
278.0,0.0
279.0,0.0
280.0,0.0
281.0,0.0
282.0,0.0
283.0,0.0
284.0,0.0
285.0,0.0
286.0,0.0
287.0,0.0
288.0,0.0
289.0,0.0
290.0,0.0
291.0,0.0
292.0,0.0
293.0,0.0
294.0,0.0
295.0,0.0
296.0,0.0
297.0,0.0
298.0,0.0
299.0,0.0
300.0,0.0
301.0,0.0
302.0,0.0
303.0,0.0
304.0,0.0
305.0,0.0
306.0,0.0
307.0,0.0
308.0,0.0
309.0,0.0
310.0,0.0
311.0,0.0
312.0,0.0
313.0,0.0
314.0,0.0
315.0,0.0
316.0,0.0
317.0,0.0
318.0,0.0
319.0,0.0
320.0,0.0
321.0,0.0
322.0,0.0
323.0,0.0
324.0,0.0
325.0,0.0
326.0,0.0
327.0,0.0
328.0,0.0
329.0,0.0
330.0,0.0
331.0,0.0
332.0,0.0
333.0,0.0
334.0,0.0
335.0,0.0
336.0,0.0
337.0,0.0
338.0,0.0
339.0,0.0
340.0,0.0
341.0,0.0
342.0,0.0
343.0,0.0
344.0,0.0
345.0,0.0
346.0,0.0
347.0,0.0
348.0,0.0
349.0,0.0
350.0,0.0
351.0,0.0
352.0,0.0
353.0,0.0
354.0,0.0
355.0,0.0
356.0,0.0
357.0,0.0
358.0,0.0
359.0,0.0
360.0,0.0
361.0,0.0
362.0,0.0
363.0,0.0
364.0,0.0
365.0,0.0
366.0,0.0
367.0,0.0
368.0,0.0
369.0,0.0
370.0,0.0
371.0,0.0
372.0,0.0
373.0,0.0
374.0,0.0
375.0,0.0
376.0,0.0
377.0,0.0
378.0,0.0
379.0,0.0
380.0,0.0
381.0,0.0
382.0,0.0
383.0,0.0
384.0,0.0
385.0,0.0
386.0,0.0
387.0,0.0
388.0,0.0
389.0,0.0
390.0,0.0
391.0,0.0
392.0,0.0
393.0,0.0
394.0,0.0
395.0,0.0
396.0,0.0
397.0,0.0
398.0,0.0
399.0,0.0
400.0,0.0
401.0,0.0
402.0,0.0
403.0,0.0
404.0,0.0
405.0,0.0
406.0,0.0
407.0,0.0
408.0,0.0
409.0,0.0
410.0,0.0
411.0,0.0
412.0,0.0
413.0,0.0
414.0,0.0
415.0,0.0
416.0,0.0
417.0,0.0
418.0,0.0
419.0,0.0
420.0,0.0
421.0,0.0
422.0,0.0
423.0,0.0
424.0,0.0
425.0,0.0
426.0,0.0
427.0,0.0
428.0,0.0
429.0,0.0
430.0,0.0
431.0,0.0
432.0,0.0
433.0,0.0
434.0,0.0
435.0,0.0
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,0.0
441.0,0.0
442.0,0.0
443.0,0.0
444.0,0.0
445.0,0.0
446.0,0.0
447.0,0.0
448.0,0.0
449.0,0.0
450.0,0.0
451.0,0.0
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,0.0
508.0,0.0
509.0,0.0
510.0,0.0
511.0,0.0
512.0,0.0
513.0,0.0
514.0,0.0
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,0.0
520.0,0.0
521.0,0.0
522.0,0.0
523.0,0.0
524.0,0.0
525.0,0.0
526.0,0.0
527.0,0.0
528.0,0.0
529.0,0.0
530.0,0.0
531.0,0.0
532.0,0.0
533.0,0.0
534.0,0.0
535.0,0.0
536.0,0.0
537.0,0.0
538.0,0.0
539.0,0.0
540.0,0.0
541.0,0.0
542.0,0.0
543.0,0.0
544.0,0.0
545.0,0.0
546.0,0.0
547.0,0.0
548.0,0.0
549.0,0.0
550.0,0.0
551.0,0.0
552.0,0.0
553.0,0.0
554.0,0.0
555.0,0.0
556.0,0.0
557.0,0.0
558.0,0.0
559.0,0.0
560.0,0.0
561.0,0.0
562.0,0.0
563.0,0.0
564.0,0.0
565.0,0.0
566.0,0.0
567.0,0.0
568.0,0.0
569.0,0.0
570.0,0.0
571.0,0.0
572.0,0.0
573.0,0.0
574.0,0.0
575.0,0.0
576.0,0.0
577.0,0.0
578.0,0.0
579.0,0.0
580.0,0.0
581.0,0.00015254034535712923
582.0,0.0005135753833066907
583.0,0.0008746104212562523
584.0,0.0012356454592058138
585.0,0.0015966804971553753
586.0,0.001957715535104937
587.0,0.0023187505730544984
588.0,0.00267978561100406
589.0,0.0030408206489536214
590.0,0.003401855686903183
591.0,0.0037628907248527447
592.0,0.004123925762802306
593.0,0.004484960800751867
594.0,0.004845995838701429
595.0,0.00520703087665099
596.0,0.005568065914600552
597.0,0.005929100952550114
598.0,0.006290135990499676
599.0,0.006651171028449237
600.0,0.007012206066398798
601.0,0.00737324110434836
602.0,0.007734276142297921
603.0,0.008095311180247483
604.0,0.008456346218197044
605.0,0.008817381256146605
606.0,0.009178416294096168
607.0,0.009539451332045729
608.0,0.01006877307158934
609.0,0.012330521136737856
610.0,0.014592269201886375
611.0,0.01685401726703489
612.0,0.01911576533218341
613.0,0.021377513397331925
614.0,0.02363926146248044
615.0,0.02590100952762896
616.0,0.028162757592777476
617.0,0.030424505657925992
618.0,0.03268625372307451
619.0,0.03494800178822303
620.0,0.03720974985337154
621.0,0.03947149791852007
622.0,0.04843657699639002
623.0,0.057408208843097275
624.0,0.06637984068980453
625.0,0.07535147253651177
626.0,0.08432310438321902
627.0,0.09329473622992628
628.0,0.10226636807663353
629.0,0.11123799992334078
630.0,0.12020963177004802
631.0,0.12918126361675528
632.0,0.13815289546346254
633.0,0.15223583815671407
634.0,0.1725796794711518
635.0,0.19292352078558955
636.0,0.21326736210002728
637.0,0.23361120341446506
638.0,0.2539550447289028
639.0,0.2742988860433405
640.0,0.29464272735777824
641.0,0.32183079677908544
642.0,0.3609380211982278
643.0,0.40004524561737026
644.0,0.4391524700365127
645.0,0.47825969445565514
646.0,0.524146714478807
647.0,0.5820882564291583
648.0,0.6400297983795097
649.0,0.6979713403298611
650.0,0.7559128822802125
651.0,0.8138544242305639
652.0,0.8668057343922203
653.0,0.8998182660356608
654.0,0.9328307976791016
655.0,0.9658433293225424
656.0,0.998855860965983
657.0,0.9615081010426529
658.0,0.9216342659258551
659.0,0.8817604308090574
660.0,0.8154454728666855
661.0,0.7227386602475974
662.0,0.6300318476285093
663.0,0.5373250350094213
664.0,0.46157341116041184
665.0,0.3949270256619065
666.0,0.32828064016340125
667.0,0.261634254664896
668.0,0.22742685640123533
669.0,0.20129098161954947
670.0,0.17515510683786362
671.0,0.14901923205617773
672.0,0.12288335727449187
673.0,0.096747482492806
674.0,0.07518815745837361
675.0,0.0669286015505748
676.0,0.058669045642775974
677.0,0.05040948973497715
678.0,0.04214993382717833
679.0,0.03389037791937951
680.0,0.028612862834736998
681.0,0.02655041314246439
682.0,0.024487963450191785
683.0,0.022425513757919176
684.0,0.02036306406564657
